timestamp,red_x,red_y,green_x,green_y
19063466,233.50282485875707,191.23728813559322,221.74117647058824,176.5235294117647
19089066,232.46470588235294,192.0529411764706,334.4130434782609,224.41304347826087
19131733,240.49418604651163,197.11627906976744,230.50595238095238,180.66666666666666
19148800,246.88888888888889,201.16666666666666,233.32544378698225,182.72781065088756
19200000,243.2662721893491,201.6153846153846,237.79881656804733,186.20710059171597
19217066,247.51176470588234,206.45294117647057,247.63636363636363,192.375
19259733,247.1987951807229,209.09036144578315,248.30409356725147,194.84795321637426
19276800,239.4516129032258,207.9741935483871,251.0529411764706,199.4
19293866,248.5625,216.2625,255.6094674556213,204.15384615384616
19345066,244.69934640522877,215.62745098039215,263.8103448275862,210.58620689655172
19404800,251.46540880503144,222.49056603773585,260.2874251497006,211.0239520958084
19430400,240.9795918367347,217.51700680272108,257.4375,211.4
19447466,255.9493670886076,229.28481012658227,261.90683229813664,215.80745341614906
19464533,262.37654320987656,236.28395061728395,271.622754491018,223.79640718562874
19515733,263.27950310559004,239.83229813664596,275.42261904761904,229.07738095238096
19558400,257.7142857142857,238.3116883116883,281.2046783625731,235.5438596491228
19601066,437.0,378.0,451.05128205128204,347.94871794871796
19601066,439.14864864864865,386.05405405405406,456.05128205128204,357.94871794871796
19643733,440.55555555555554,394.44444444444446,460.34939759036143,367.95180722891564
19686400,324.1965811965812,306.11965811965814,340.23333333333335,291.69166666666666
19703466,253.76712328767124,251.24657534246575,279.95625,253.2625
19746133,259.47712418300654,261.2549019607843,278.8074534161491,257.35403726708074
19788800,267.0496894409938,273.82608695652175,277.16875,262.4
19814400,247.66438356164383,261.43835616438355,276.01875,268.3375
19857066,246.4625850340136,266.4421768707483,276.6358024691358,276.2098765432099
19874133,243.06849315068493,268.541095890411,272.4875,279.79375
19916800,237.63815789473685,267.92763157894734,326.462962962963,341.50925925925924
19933866,220.1917098445596,234.7357512953368,236.19021739130434,243.5108695652174
19985066,218.94818652849742,238.52849740932643,247.05524861878453,257.30939226519337
20027733,215.48704663212436,237.93264248704662,304.13157894736844,316.4824561403509
20044800,209.94416243654823,234.8020304568528,314.4173913043478,336.8086956521739
20087466,211.3419689119171,239.79274611398964,344.56626506024094,400.4096385542169
20104533,208.328125,238.796875,219.26288659793815,244.96391752577318
20155733,212.23115577889448,247.321608040201,220.5,251.06060606060606
20198400,206.1958762886598,240.77319587628867,362.74626865671644,470.2238805970149
20241066,203.79274611398964,238.84455958549222,266.24545454545455,341.1545454545454
20241066,200.7788944723618,236.08040201005025,374.61290322580646,501.5
20309333,199.2211055276382,235.0753768844221,229.46323529411765,296.19117647058823
20326400,199.33160621761658,235.3678756476684,282.74257425742576,344.84158415841586
20343466,193.70149253731344,225.82089552238807,273.35897435897436,323.3162393162393
20386133,193.4834123222749,224.3601895734597,354.9384615384615,488.3538461538462
20411733,192.44497607655504,222.1196172248804,350.94029850746267,483.46268656716416
20428800,192.11483253588517,222.0622009569378,331.1818181818182,444.3484848484849
20480000,191.05714285714285,220.01904761904763,344.0,472.5
20514133,192.75,223.33796296296296,307.4805194805195,397.1168831168831
20556800,191.7674418604651,221.86976744186046,338.0,459.5
20573866,186.6952380952381,213.35238095238094,323.27777777777777,428.6111111111111
20625066,184.85185185185185,210.71759259259258,332.5,444.61290322580646
20667733,187.59803921568627,213.99019607843138,318.83561643835617,414.06849315068496
20684800,186.30243902439025,212.00487804878048,328.05405405405406,428.14864864864865
20727466,188.3397129186603,216.06698564593302,326.14864864864865,420.05405405405406
20744533,183.1818181818182,208.08612440191388,324.05797101449275,411.5507246376812
20778666,191.454128440367,220.43119266055047,321.94594594594594,403.14864864864865
20821333,187.5662100456621,215.4794520547945,319.5,396.0
20838400,183.9158878504673,210.26168224299064,294.44736842105266,362.2631578947368
20881066,180.22380952380954,205.0095238095238,249.63333333333333,267.175
20923733,179.95215311004785,204.78947368421052,252.55833333333334,274.53333333333336
20949333,180.91176470588235,206.08823529411765,246.42990654205607,298.8224299065421
20983466,178.95238095238096,203.4857142857143,296.2432432432432,367.05405405405406
21026133,179.9170731707317,205.3170731707317,292.9066666666667,365.0933333333333
21068800,180.55140186915887,208.18691588785046,289.8,364.1066666666667
21094400,179.2780487804878,205.35121951219512,286.05128205128204,364.05128205128204
21120000,177.57894736842104,204.22966507177034,282.987012987013,364.8961038961039
21154133,201.65942028985506,242.8804347826087,279.9605263157895,365.05263157894734
21179733,179.13145539906102,207.99530516431926,277.82608695652175,366.536231884058
21196800,181.45283018867926,214.79716981132074,240.4144144144144,285.6756756756757
21248000,177.5095238095238,205.51904761904763,274.463768115942,371.17391304347825
21290666,177.6256157635468,208.02463054187191,273.8857142857143,374.5
21324800,177.62436548223351,210.40609137055839,273.05797101449275,378.5507246376812
21350400,204.1875,254.09191176470588,254.71794871794873,353.9871794871795
21367466,182.3235294117647,219.05882352941177,273.0933333333333,386.9066666666667
21418666,180.52763819095478,215.44723618090453,274.5,391.5
21461333,183.14948453608247,219.00515463917526,274.7692307692308,391.10769230769233
21495466,185.08333333333334,222.82843137254903,259.72727272727275,368.6623376623377
21521066,180.20103092783506,213.4278350515464,281.05797101449275,403.5507246376812
21538133,184.7766990291262,219.41747572815535,283.44444444444446,407.55555555555554
21563733,183.77114427860695,218.55721393034827,286.05797101449275,411.5507246376812
21606400,184.93401015228426,220.1522842639594,252.75238095238095,326.6
21649066,187.10552763819095,223.58291457286433,292.0,420.0
21691733,190.1443298969072,227.35051546391753,295.05797101449275,424.4492753623188
21708800,187.58673469387756,222.70408163265307,262.8817204301075,344.0537634408602
21734400,223.03787878787878,286.3598484848485,281.4756097560976,401.3536585365854
21777066,190.09183673469389,225.71428571428572,306.11764705882354,439.5882352941176
21819733,194.22916666666666,231.328125,310.5,445.61290322580646
21853866,194.795,232.4,275.31182795698925,360.8709677419355
21888000,196.23383084577114,234.0,320.61290322580646,458.5
21930666,225.69117647058823,284.3492647058824,326.55555555555554,465.44444444444446
21947733,196.8279569892473,231.46774193548387,332.61290322580646,472.5
21990400,200.45744680851064,236.47340425531914,339.5,480.38709677419354
22007466,203.35858585858585,240.8939393939394,346.61290322580646,488.5
22058666,206.0985221674877,241.9408866995074,354.5,496.5
22075733,211.13541666666666,249.48958333333334,362.55737704918033,504.55737704918033
22118400,199.01020408163265,225.98469387755102,370.6166666666667,512.6
